SPMCODE	SECTION	TAXA-Current_determination	LOOK-UP_Authors	ID.modifier	LOOK-UP_WCM-ID	LOOK-UP_Accepted name	LOOK-UP Parent Name	Determined_by	Determined_date	determination_reasoning_notes	Lab_receiving_material	Received_Materials	Type_of_material	Date_received	Institution_Person_sending_material	Ownership_of_Sequence	TAXA.received.as_piped_add_dets	Original_Tube_No	Accession_Num_Voucher	voucher_location	Collectors	Collector_no	TDWG	Country	State_Province_Region_territory	substate	substate rank	Site	habitat	associates	plant-attributes	latitute	longitude	datum	elevation	elevation_source	coordinates_source	photos	Original_project		Specimen_Notes	Imaged	Use_in_NSF-CAREX-1255901_Project	Database_Notes	SPM.EXCLUDE	SPM.DATE.EXCLUSION	SPM.EXCLUSION.NOTES	SEQUENCE_NAME	PERMISSION_TO_USE	temp-sn don't need to check	Include2019GlobalCarex	tipLabels2019	NCBI_geo_loc_name	ETS_NCBI_ACCESSION	ITS_NCBI_ACCESSION	matK_NCBI_ACCESSION	Projects_IncompleteList	SEQUENCED
spm00000279		Carex longii	Mack.		urn:kew.org:wcs:taxon:228267	accepted		Anton Reznicek			MOR	yes	herbarium leaf tissue	6/13/2013	Anton Reznicek (MICH)	REZNICEK	Carex longii	NA	MICH 1132730	MICH	W.R. Anderson, M.W. Chase, and A.A. Reznicek	13246	MXT	Mexico	Chiapas			2 km N of Jitotol on road to Pichucalco												Carex longii	number listed for accession # is num on barcode.	no	1								TRUE	Carex_longii|MXT|spm00000279	Mexico: Chiapas	MN760263	MN761916	MN763522	Global biogeography of Carex (Martin-Bravo et al.)	yes
spm00000280		Carex marianensis	Stacey		urn:kew.org:wcs:taxon:228508	accepted		Anton Reznicek			MOR	yes	herbarium leaf tissue	6/13/2013	Anton Reznicek (MICH)	REZNICEK	Carex marianensis	NA	S. & G. Jones 5476	MICH	S. & G. Jones	5476	MXE	Mexico	Hidalgo			1.6 miles NE on Mex 136 from its jct. with the Hidalgo-Mexic State line.												Carex marianensis	no barcode on scanned herbarium sheet, but I believe this is from MICH herbarium along with rest of materials sent	no	1								TRUE	Carex_marianensis|MXE|spm00000280	Mexico: Hidalgo	MN760833	MN761915	MN763002	Global biogeography of Carex (Martin-Bravo et al.)	yes
spm00000281		Carex mcvaughii	Reznicek		urn:kew.org:wcs:taxon:228548	accepted		Anton Reznicek			MOR	yes	herbarium leaf tissue	6/13/2013	Anton Reznicek (MICH)	REZNICEK	Carex mcvaughii	Carex_MOR_246	MICH.1132759	MICH	M. Fuentes O.	124	MXS	Mexico	Jalisco			Mpio Tecalitlan. 48 km al S de Cd. Guzman por carr. A Pihuamo. Luego 67 km al S por brecha de Llanitos a Mexiquillo, luego 7 km al S de Mexiquillo por brecha secundaria												Carex mcvaughii	number listed for accession # is num on barcode.	no	1								FALSE		Mexico: Jalisco
spm00000282		Carex occidentalis	L.H.Bailey	cf.	urn:kew.org:wcs:taxon:229180	accepted		Anton Reznicek			MOR	yes	herbarium leaf tissue	6/13/2013	Anton Reznicek (MICH)	REZNICEK	Carex sp. cf. occidentalis	NA	MICH.1132828	MICH	S. Gonzalez & A.A. Reznicek w/ M. Gonzalez & M. Pinedo	10798	MXC	Mexico	Puebla			Mpio. Esperanza: Km 230.4 on toll road from Mexico to Orizaba, very close to the Puebla-Veracruz border.												Carex occidentalis	number listed for accession # is num on barcode.	no	1								TRUE	Carex_occidentalis|MXC|spm00000282	Mexico: Puebla	MN760243	MN761904	MN763085	Global biogeography of Carex (Martin-Bravo et al.)	yes
spm00000283		Carex orizabae	Liebm.		urn:kew.org:wcs:taxon:229322	accepted		Anton Reznicek			MOR	yes	herbarium leaf tissue	6/13/2013	Anton Reznicek (MICH)	REZNICEK	Carex orizabae	NA	MICH.1132842	MICH	P.F. Zika	15381	MXC	Mexico	Puebla			14 road km above San Miguel Zuapan on road to climbers camp, NW slopes of Volcan Pico de Orizaba,												Carex orizabae	number listed for accession # is num on barcode.	no	1								TRUE	Carex_orizabae|MXC|spm00000283	Mexico: Puebla	MN760335	MN761714	MN762998	Global biogeography of Carex (Martin-Bravo et al.)	yes
spm00000284		Carex pinophila	Reznicek & S.González	aff.	urn:kew.org:wcs:taxon:229796	accepted		Anton Reznicek			MOR	yes	herbarium leaf tissue	6/13/2013	Anton Reznicek (MICH)	REZNICEK	Carex aff. pinophila	NA	MICH.1216168	MICH	A.A. Reznicek w/ S. Zamudio, G. Ocampo	11095	MXE	Mexico	Queretaro			Mpio. Landa de Matamoros: Llano Chiquito Valley, north extreme, west of El Puerto del Conejo.												Carex pinophila	number listed for accession # is num on barcode.	no	1								TRUE	Carex_pinophila|MXE|spm00000284	Mexico: Queretaro	MN760566	MN761614	MN763061	Global biogeography of Carex (Martin-Bravo et al.)	yes
spm00000285		Carex planostachys	Kunze		urn:kew.org:wcs:taxon:229817	accepted		Anton Reznicek			MOR	yes	herbarium leaf tissue	6/13/2013	Anton Reznicek (MICH)	REZNICEK	Carex planostachys	NA	MICH.1132789	MICH	S. Gonzalez & A.A. Reznicek w/ M. Pinedo	10288	MXE	Mexico	Queretaro			Mpio. Landa de Matamoros: Between El Lobo and Landa, near entrance to Ranch La Sierrita, ca. 18 km (air) NE of Landa.												Carex planostachys	number listed for accession # is num on barcode.	no	1								TRUE	Carex_planostachys|MXE|spm00000285	Mexico: Queretaro	MN760529		MN763548	Global biogeography of Carex (Martin-Bravo et al.)	yes
spm00000286		Carex sect.Polystachyae - sp. nov. (red-based Polystachyae)	#N/A	sp. nov. (red-based Polystachyae)	#N/A	#N/A	#N/A	Anton Reznicek			MOR	yes	herbarium leaf tissue	6/13/2013	Anton Reznicek (MICH)	REZNICEK	Carex sp. nov. (red-based Polystachyae)	Carex_MOR_251	MICH.1132811	MICH	S. Gonzalez & A.A. Reznicek w/ M. Gonzalez & M. Pinedo	10768	MXT	Mexico	Chiapas			Mpio. Chilon: Near Tiaquil, south of Palenque, ca. km 114 along road (Hwy 199) to Ocosingo.												Carex sect.Polystachyae - sp. nov. (red-based Polystachyae)	number listed for accession # is num on barcode.	no	1								FALSE		Mexico: Chiapas
spm00000588	Schiedeanae	Carex distachya	Desf.		urn:kew.org:wcs:taxon:226080	accepted		M. Luceño & P. Jimenez-Mejias			WSU	yes	Silica	1/1/2014	M. Luceño & T. Villaverde	LUCENO	Carex distachya	NA	UPOS_2150/89PJM04	UPOS	P. Jimenez-Mejias et al.	89PJM04	SPA	Spain					stream borders			36 4' 35'' N	5 31' 51''W		375 m					Carex distachya			1								TRUE	Carex_distachya|SPA|spm00000588	Spain 	MN760248	MN762299	MN763811	Global biogeography of Carex (Martin-Bravo et al.)
spm00000287		Carex sect.Polystachyae - sp. nov. (C. polystachya group)	#N/A	sp. nov. (C. polystachya group)	#N/A	#N/A	#N/A	Anton Reznicek			MOR	yes	herbarium leaf tissue	6/13/2013	Anton Reznicek (MICH)	REZNICEK	Carex sp. nov. (C. polystachya group)	Carex_MOR_252	MICH.1132826	MICH	S. Gonzalez & A.A. Reznicek w/ M. Gonzalez & M. Pinedo	10731	MXE	Mexico	Hidalgo			Mpio. Pisaflores: 200 m W of El Durazno along road to Neblinas.												Carex sect.Polystachyae - sp. nov. (C. polystachya group)	number listed for accession # is num on barcode.	no	1								FALSE		Mexico: Hidalgo
spm00000288		Carex polystachya	Sw. ex Wahlenb.		urn:kew.org:wcs:taxon:229885	accepted		Anton Reznicek			MOR	yes	herbarium leaf tissue	6/13/2013	Anton Reznicek (MICH)	REZNICEK	Carex polystachya	Carex_MOR_253	MICH.1132927	MICH	P.F. Zika	15372	MXG	Mexico	Veracruz			4 miles E of Jilotepec on road to Naolinco,												Carex polystachya	number listed for accession # is num on barcode.	no	1								FALSE		Mexico: Veracruz
spm00000289		Carex sect. Polystachyae - Costa Rica	#N/A	Carex polystachya group	#N/A	#N/A	#N/A	Anton Reznicek			MOR	yes	herbarium leaf tissue	6/13/2013	Anton Reznicek (MICH)	REZNICEK	Carex polystachya group	Carex_MOR_254	MICH.A1000190 (from sheet 1 f 2)	MICH	R.F.C. Naczi w/ B.M. Oconnor, R.J. Evans	2291	COS	Costa Rica	San Jose			15 km SW of San Isidro and 2.8 km NNE of Tinamaste at western end of Fila Tinamastes												Carex sect. Polystachyae - Costa Rica	number listed for accession # is num on barcode.	no	1								FALSE		Costa Rica: San Jose
spm00000290		Carex sect.Polystachyae - Chiapas	#N/A	Carex polystachya group	#N/A	#N/A	#N/A	Anton Reznicek			MOR	yes	herbarium leaf tissue	6/13/2013	Anton Reznicek (MICH)	REZNICEK	Carex polystachya group	Carex_MOR_255	MICH.1132801	MICH	S. Gonzalez & A.A. Reznicek w/ M. Gonzalez & M. Pinedo	10770	MXT	Mexico	Chiapas			Mpio. La Trinitaria: Parque Nacional Lagunas de Montebello, on road to Lago Tziscao.												Carex sect.Polystachyae - Chiapas	number listed for accession # is num on barcode.	no	1								FALSE		Mexico: Chiapas
spm00000291		Carex sect.Polystachyae - Chiapas	#N/A	Carex polystachya group	#N/A	#N/A	#N/A	Anton Reznicek			MOR	yes	herbarium leaf tissue	6/13/2013	Anton Reznicek (MICH)	REZNICEK	Carex polystachya group	Carex_MOR_256	MICH.1133021	MICH	S. Gonzalez & A.A. Reznicek w/ M. Gonzalez & M. Pinedo	10464	MXT	Dominican Republic	Chiapas															Carex sect.Polystachyae - Chiapas	number listed for accession # is num on barcode.	no	1								FALSE		Dominican Republic: Chiapas
spm00000292		Carex polysticha	Boeckeler		urn:kew.org:wcs:taxon:229891	accepted		Anton Reznicek			MOR	yes	herbarium leaf tissue	6/13/2013	Anton Reznicek (MICH)	REZNICEK	Carex polysticha	NA	MICH.1133034	MICH	S.A. Thompson w/ J.E. Rawlins	7697	DOM	Mexico	Peravia															Carex polysticha	number listed for accession # is num on barcode.	no	1								TRUE	Carex_polysticha|DOM|spm00000292	Mexico: Peravia	MN761008	MN761913	MN763520	Global biogeography of Carex (Martin-Bravo et al.)	yes
spm00000293		Carex pringlei	L.H.Bailey		urn:kew.org:wcs:taxon:229974	accepted		Anton Reznicek			MOR	yes	herbarium leaf tissue	6/13/2013	Anton Reznicek (MICH)	REZNICEK	Carex pringlei	NA	MICH.1133062	MICH	S. & G. Jones w/ J.K. Wipff	7179	MXE	Mexico	Coahuila															Carex pringlei	number listed for accession # is num on barcode.	no	1								TRUE	Carex_pringlei|MXE|spm00000293	Mexico: Coahuila		MN761885	MN763518	Global biogeography of Carex (Martin-Bravo et al.)	yes
spm00000294		Carex queretarensis	Reznicek & S.González		urn:kew.org:wcs:taxon:230187	accepted		Anton Reznicek			MOR	yes	herbarium leaf tissue	6/13/2013	Anton Reznicek (MICH)	REZNICEK	Carex queretarensis	NA	MICH.1133064	MICH	S. Gonzalez & A.A. Reznicek w/ M. Gonzalez & M. Pinedo	10724	MXE	Mexico	Queretaro															Carex queretarensis	number listed for accession # is num on barcode.	no	1								TRUE	Carex_queretarensis|MXE|spm00000294	Mexico: Queretaro	MN760642	MN761914	MN763199	Global biogeography of Carex (Martin-Bravo et al.)	yes
spm00000295		Carex rhynchoperigynium	S.D.Jones & Reznicek		urn:kew.org:wcs:taxon:230352	accepted		Anton Reznicek			MOR	yes	herbarium leaf tissue	6/13/2013	Anton Reznicek (MICH)	REZNICEK	Carex rhynchoperigynium	NA	MICH.1133066	MICH	S. Gonzalez & A.A. Reznicek w/ M. Gonzalez & M. Pinedo	10743	MXE	Mexico	Hidalgo															Carex rhynchoperigynium	number listed for accession # is num on barcode.	no	1								TRUE	Carex_rhynchoperigynium|MXE|spm00000295	Mexico: Hidalgo	MN760024	MN761636	MN763201	Global biogeography of Carex (Martin-Bravo et al.)	yes
spm00000296		Carex spissa	L.H.Bailey ex Hemsl.		urn:kew.org:wcs:taxon:231084	accepted		Anton Reznicek			MOR	yes	herbarium leaf tissue	6/13/2013	Anton Reznicek (MICH)	REZNICEK	Carex spissa	NA	MICH.1133096	MICH	S. Gonzalez & A.A. Reznicek w/ M. Pinedo	10252	MXE	Mexico	Coahuila															Carex spissa	number listed for accession # is num on barcode.	no	1								TRUE	Carex_spissa|MXE|spm00000296	Mexico: Coahuila	MN760464	MN761470	MN763547	Global biogeography of Carex (Martin-Bravo et al.)	yes
spm00000297		Carex standleyana	Steyerm.		urn:kew.org:wcs:taxon:231106	accepted		Anton Reznicek			MOR	yes	herbarium leaf tissue	6/13/2013	Anton Reznicek (MICH)	REZNICEK	Carex standleyana	Carex_MOR_262	MICH.1133097	MICH	G. Davidse, M. Sousa S. & J.L. Linares	35241	HON	Honduras	Intibuca															Carex standleyana	number listed for accession # is num on barcode.	no	1								FALSE		Honduras: Intibuca
spm00000298		Carex ehrenbergiana	Boeckeler		urn:kew.org:wcs:taxon:226278	not accepted	Carex tuberculata	Anton Reznicek			MOR	yes	herbarium leaf tissue	6/13/2013	Anton Reznicek (MICH)	REZNICEK	Carex ehrenbergiana	NA	MICH.1133141	MICH	S. Gonzalez & A.A. Reznicek w/ M. Pinedo	10549	MXC	Mexico	Morelos															Carex ehrenbergiana	number listed for accession # is num on barcode.	no	1								TRUE	Carex_ehrenbergiana|MXC|spm00000298	Mexico: Morelos	MN760891	MN761580	MN763551	Global biogeography of Carex (Martin-Bravo et al.)	yes
spm00000299		Carex sect.Fecundae - sp. nov. aff. tuberculata	#N/A	sp. nov. aff. tuberculata	#N/A	#N/A	#N/A	Anton Reznicek			MOR	yes	herbarium leaf tissue	6/13/2013	Anton Reznicek (MICH)	REZNICEK	Carex sp. nov. aff. tuberculata	Carex_MOR_264	MICH.1133139	MICH	S. Gonzalez & A.A. Reznicek w/ M. Pinedo	10539	MXS	Mexico	Oaxaca															Carex sect.Fecundae - sp. nov. aff. tuberculata	number listed for accession # is num on barcode.	no	1								FALSE		Mexico: Oaxaca
spm00000300		Carex tuberculata	Liebm.		urn:kew.org:wcs:taxon:231731	accepted		Anton Reznicek			MOR	yes	herbarium leaf tissue	6/13/2013	Anton Reznicek (MICH)	REZNICEK	Carex tuberculata	NA	MICH.1133133	MICH	P.F. Zika	15385	MXC	Mexico	Mexico															Carex tuberculata	number listed for accession # is num on barcode.	no	1								TRUE	Carex_tuberculata|MXC|spm00000300	Mexico: Mexico	MN760890	MN761889	MN763563	Global biogeography of Carex (Martin-Bravo et al.)	yes
spm00000301		Carex turbinata	Liebm.		urn:kew.org:wcs:taxon:231749	accepted		Anton Reznicek			MOR	yes	herbarium leaf tissue	6/13/2013	Anton Reznicek (MICH)	REZNICEK	Carex turbinata	NA	MICH.1216152	MICH	A.A. Reznicek & S. Gonzalez w/ M. Pinedo	11119	MXN	Mexico	Sinaloa															Carex turbinata	number listed for accession # is num on barcode.	no	1								TRUE	Carex_turbinata|MXN|spm00000301	Mexico: Sinaloa	MN760629	MN762034	MN763028	Global biogeography of Carex (Martin-Bravo et al.)	yes
spm00000302		Carex turbinata	Liebm.		urn:kew.org:wcs:taxon:231749	accepted		Anton Reznicek			MOR	yes	herbarium leaf tissue	6/13/2013	Anton Reznicek (MICH)	REZNICEK	Carex turbinata	NA	MICH.1216143	MICH	A.A. Reznicek & S. Gonzalez w/ M. Pinedo	11113	MXE	Mexico	Aguascalientes															Carex turbinata	number listed for accession # is num on barcode.	no	1								TRUE	Carex_turbinata|MXE|spm00000302	Mexico: Aguascalientes	MN760535	MN761893	MN763024	Global biogeography of Carex (Martin-Bravo et al.)	yes
spm00000303		Carex tunimanensis	Standl. & Steyerm.		urn:kew.org:wcs:taxon:231748	accepted		Anton Reznicek			MOR	yes	herbarium leaf tissue	6/13/2013	Anton Reznicek (MICH)	REZNICEK	Carex tunimanensis	NA	MICH.1133143	MICH	S. Gonzalez & A.A. Reznicek w/ M. Gonzalez & M. Pinedo	10471	MXT	Mexico	Chiapas															Carex tunimanensis	number listed for accession # is num on barcode.	no	1								TRUE	Carex_tunimanensis|MXT|spm00000303	Mexico: Chiapas	MN760097	MN761607	MN763100	Global biogeography of Carex (Martin-Bravo et al.)	yes
spm00000304		Carex xalapensis	Kunth		urn:kew.org:wcs:taxon:232238	not accepted	Carex muehlenbergii var. xalapensis	Anton Reznicek			MOR	yes	herbarium leaf tissue	6/13/2013	Anton Reznicek (MICH)	REZNICEK	Carex xalapensis	NA	MICH.1133221	MICH	P.F. Zika	15363	MXC	Mexico	Tlaxcala															Carex xalapensis	number listed for accession # is num on barcode.	no	1								TRUE	Carex_xalapensis|MXC|spm00000304	Mexico: Tlaxcala	MN760728	MN761774	MN763079	Global biogeography of Carex (Martin-Bravo et al.)	yes
spm00000305		Carex xalapensis	Kunth		urn:kew.org:wcs:taxon:232238	not accepted	Carex muehlenbergii var. xalapensis	Anton Reznicek			MOR	yes	herbarium leaf tissue	6/13/2013	Anton Reznicek (MICH)	REZNICEK	Carex xalapensis	NA	MICH.1133194	MICH	S. Gonzalez & A.A. Reznicek w/ M. Pinedo	10281	MXE	Mexico	Queretaro															Carex xalapensis	number listed for accession # is num on barcode.	no	1								TRUE	Carex_xalapensis|MXE|spm00000305	Mexico: Queretaro	MN760729	MN761862	MN763078	Global biogeography of Carex (Martin-Bravo et al.)	yes
spm00000354	Schiedeanae	Carex schiedeana	Kunze		urn:kew.org:wcs:taxon:230691	accepted		Anton Reznicek, S. Gonzalez	2013		MOR	yes	herbarium leaf tissue	7/29/2013	Anton Reznicek (MICH)	REZNICEK	Carex schiedeana	NA	S. Gonzalez & AA Reznicek 10787	MICH?	S. Gonzalez & A.A. Reznicek w/ M. Gonzalez, M. Pinedo	10797	MXG	Mexico	Veracruz				Dry montane scrub with compositae, legumes, Salvia, etc; very heavily grazed.  Infrequent, just a few plants under bushes escaping grazing.		overmature, very few still in fruit	18.71194444	-97.33305556		2000m					Carex schiedeana		no	1								TRUE	Carex_schiedeana|MXG|spm00000354	Mexico: Veracruz	MN760869	MN761855		Global biogeography of Carex (Martin-Bravo et al.)	yes
spm00000355	Schiedeanae	Carex muriculata	F.J.Herm.		urn:kew.org:wcs:taxon:228883	accepted		Anton Reznicek, S. Gonzalez	1994		MOR	yes	herbarium leaf tissue	7/29/2013	Anton Reznicek (MICH)	REZNICEK	Carex muriculata	NA	Guy Nesom 7368	MICH?	Guy Nesom & Mark Mayfield	7368	MXE	Mexico	Coahuila				Steep NW-facing slope, dom'nt oak-yucca	Diospyros, Dasylirion, Acacia, and other shrubs.	Scattered plants but common.	28.511111	-102.325		1250m					Carex muriculata	scanned label has University of Texas herbarium (LL, TEX) on it.  Assuming this voucher is from Michigan though…	no	1								TRUE	Carex_muriculata|MXE|spm00000355	Mexico: Coahuila	MN760868	MN761831	MN763560	Global biogeography of Carex (Martin-Bravo et al.)	yes
spm00000356	Schiedeanae	Carex angustilepis	#N/A	sp. nov. ined.	#N/A	#N/A	#N/A	Anton Reznicek, S. Gonzalez			MOR	yes	herbarium leaf tissue	7/29/2013	Anton Reznicek (MICH)	REZNICEK	Carex angustilepis	NA	S. Gonzalez & AA Reznicek 10726	MICH?	S. Gonzalez & A.A. Reznicek w/ M. Gonzalez, M. Pinedo	10726	MXE	Mexico	Queretaro				Ravine with mesophytic oak forest.		Common in small clumps, culms spreading widely.	21.301111	-99.175		1890m					Carex angustilepis		no	1								TRUE	Carex_angustilepis|MXE|spm00000356	Mexico: Queretaro	MN760870	MN761845	MN763205	Global biogeography of Carex (Martin-Bravo et al.)	yes
spm00000357	Schiedeanae	Carex complexa	#N/A	sp nov. ined	#N/A	#N/A	#N/A	Anton Reznicek			MOR	yes	herbarium leaf tissue	7/29/2013	Anton Reznicek (MICH)	REZNICEK	Carex complexa	NA	S.Gonzalex & A.A.Reznicek 10289	MICH?	S. Gonzalez & A.A. Reznicek w/ M. Pinedo	10289	MXE	Mexico	Queretaro				Rich submontane scrub on steep limestone slopes.		Common on steep, open slopes and on cliff ledges.	21.28638889	-99.2166666		1280m					Carex complexa		no	1								TRUE	Carex_complexa|MXE|spm00000357	Mexico: Queretaro	MN760874	MN761872	MN763176	Global biogeography of Carex (Martin-Bravo et al.)	yes
spm00000358		Carex austromexicana	Reznicek		urn:kew.org:wcs:taxon:224818	accepted		Anton Reznicek			MOR	yes	herbarium leaf tissue	7/29/2013	Anton Reznicek (MICH)	REZNICEK	Carex austromexicana	NA	MICH.1132379	MICH	Roy E Gereau, G.J. Martin & S. Hernandez L.	1970	MXS	Mexico	Oaxaca						Frequent on burned soil under pines				3160m					Carex austromexicana	MICH barcode # for accession #	no	1								TRUE	Carex_austromexicana|MXS|spm00000358	Mexico: Oaxaca	MN759800	MN761613	MN763567	Global biogeography of Carex (Martin-Bravo et al.)	yes
spm00000359	Schiedeanae	Carex perstricta	Mack.		urn:kew.org:wcs:taxon:229678	not accepted	Carex schiedeana	Anton Reznicek, S. Gonzalez	2013		MOR	yes	herbarium leaf tissue	7/29/2013	Anton Reznicek (MICH)	REZNICEK	Carex perstricta	NA	Guy Nesom 7418	MICH?	Guy Nesom & Mark Mayfield	7418	MXS	Mexico	Coahuila				Deep wooded canyon (along stream) on SE side of road up into mining area of the sierra. Ca. 1650 m; 102 30', 28 34'.		Scattered but common in shady woods along stream bottom.				1650m					Carex perstricta	scanned label has University of Texas herbarium (LL, TEX) on it.  Assuming this voucher is from Michigan though…	no	1								TRUE	Carex_perstricta|MXS|spm00000359	Mexico: Coahuila	MN760872	MN761832	MN763562	Global biogeography of Carex (Martin-Bravo et al.)	yes
spm00000360	Schiedeanae	Carex stellata	Mack.		urn:kew.org:wcs:taxon:231111	not accepted	Carex schiedeana	Anton Reznicek, S. Gonzalez	2013		MOR	yes	herbarium leaf tissue	7/29/2013	Anton Reznicek (MICH)	REZNICEK	Carex stellata	NA	S. Zamudio & E. Perez C. 9860	MICH?	S. Zamudio & E. Perez C.	9860	MXE	Mexico	Queretaro										2150m					Carex stellata		no	1								TRUE	Carex_stellata|MXE|spm00000360	Mexico: Queretaro		MN761853		Global biogeography of Carex (Martin-Bravo et al.)
spm00000361	Schiedeanae	Carex gypsophila	#N/A	sp. nov. ined.	#N/A	#N/A	#N/A	Anton Reznicek, S. Gonzalez	2013		MOR	yes	herbarium leaf tissue	7/29/2013	Anton Reznicek (MICH)	REZNICEK	Carex gypsophila	NA	Hintin et al. 21828	MICH?	G.B. Hinton	21828	MXE	Mexico	Nuevo Leon				Gypsum hillside						1860m					Carex gypsophila	Herbarium of G.B. Hinton	no	1								TRUE	Carex_gypsophila|MXE|spm00000361	Mexico: Nuevo Leon	MN760884	MN761854	MN763559	Global biogeography of Carex (Martin-Bravo et al.)	yes
spm00000362		Carex aureolensis	Steud.		urn:kew.org:wcs:taxon:224805	accepted		Anton Reznicek	2002		MOR	yes	herbarium leaf tissue	7/29/2013	Anton Reznicek (MICH)	REZNICEK	Carex aureolensis	NA	MICH.1132616	MICH	D.H. Riskind	2217	MXE	Mexico	Coahuila				Along intermittent drainage in pine-oak woodland.	Salix, Acer	Perennial with rhizomatous roots									Carex aureolensis	MICH barcode # for accession #	no	1								TRUE	Carex_aureolensis|MXE|spm00000362	Mexico: Coahuila	MN760893			Global biogeography of Carex (Martin-Bravo et al.)	yes
spm00000363	Schiedeanae	Carex paneroi	#N/A	sp. nov. ined.	#N/A	#N/A	#N/A	Anton Reznicek			MOR	yes	herbarium leaf tissue	7/29/2013	Anton Reznicek (MICH)	REZNICEK	Carex paneroi	NA	Jose L. Panero 5059	MICH?	Jose L. Panero with Elizabeth Manrique & Ismael Calzada	5059	MXS	Mexico	Oaxaca										1950m					Carex paneroi	label lists Herbario Nacional de Mexico (MEXU) and Michigan State University Herbarium (MSC)	no	1								TRUE	Carex_paneroi|MXS|spm00000363	Mexico: Oaxaca	MN760844	MN761850	MN763546	Global biogeography of Carex (Martin-Bravo et al.)	yes
spm00000364	Schiedeanae	Carex mesophila	#N/A	sp nov. ined.	#N/A	#N/A	#N/A	Anton Reznicek			MOR	yes	herbarium leaf tissue	7/29/2013	Anton Reznicek (MICH)	REZNICEK	Carex mesophila	NA	A.A. Reznicek 11078	MICH?	A.A. Reznicek with S. Zamudio, G. Ocampo	11078	MXE	Mexico	Queretaro				Steep, calcareous mountains covered with rich mesophytic foest.	Quercus, pinus, cupressus.	Uncommon in seepy cliff bases and along mossy stream banks.				2300m					Carex mesophila	Herbario CIIDIR & University of Michigan Herbarium	no	1								TRUE	Carex_mesophila|MXE|spm00000364	Mexico: Queretaro	MN760871	MN761844	MN763202	Global biogeography of Carex (Martin-Bravo et al.)	yes
spm00000365	Schiedeanae	Carex planilamina	#N/A	sp nov. ined.	#N/A	#N/A	#N/A	Anton Reznicek			MOR	yes	herbarium leaf tissue	7/29/2013	Anton Reznicek (MICH)	REZNICEK	Carex planilomina|Carex planilamina	NA	S. Gonzalez & A.A. Reznicek 10261	MICH?	S. Gonzalez & A.A. Reznicek with M. Pinedo	10261	MXE	Mexico	Tamaulipas				Gently sloping Quercus forest on rocky limestone soil, fairly dense shrub understory		Abundant, but widely scattered	22.9505555	-99.6063888		1500m					Carex planilamina	Herbario CIIDIR & University of Michigan Herbarium	no	1	Typo in tipLabels2019 species name should be Carex_planilamina|MXE|spm00000365							TRUE	Carex_planilomina|MXE|spm00000365	Mexico: Tamaulipas	MN760873	MN761932	MN763566	Global biogeography of Carex (Martin-Bravo et al.)	yes
spm00000366		Carex brasiliensis	A.St.-Hil.		urn:kew.org:wcs:taxon:225080	accepted		MT. Strong	2002		MOR	yes	herbarium leaf tissue	7/29/2013	Anton Reznicek (MICH)	REZNICEK	Carex brasiliensis	NA	A.Kegler 1087	MICH?	A. Kegler	1087	BZS	Brazil																Carex brasiliensis	Smithsonian Institution from the United States National Herbarium; Universidade de Caxias do Sul Museu de Ciencias Naturais - MUCS, Divisao de Botanica	no	1								TRUE	Carex_brasiliensis|BZS|spm00000366	Brazil 	MN760846	MN761424	MN763191	Global biogeography of Carex (Martin-Bravo et al.)	yes
spm00000367		Carex bonariensis	Desf. ex Poir.		urn:kew.org:wcs:taxon:225018	accepted		Anton Reznicek			MOR	yes	herbarium leaf tissue	7/29/2013	Anton Reznicek (MICH)	REZNICEK	Carex bonariensis	Carex_MOR_928	Elsa Matilde Zardini & Roque Gamarra 51816	MICH?	Elsa Matilde Zardini & Roque Gamarra	51816	PAR	Paraguay	Itapua														Supported by National Geographic Society, Missouri Botanical Garden and Jardin Botanico de Asuncion	Carex bonariensis		no	1								FALSE		Paraguay: Itapua				Supported by National Geographic Society, Missouri Botanical Garden and Jardin Botanico de Asuncion
spm00000368		Carex brachycalama	Griseb.		urn:kew.org:wcs:taxon:225063	accepted		Anton Reznicek	1986		MOR	yes	herbarium leaf tissue	7/29/2013	Anton Reznicek (MICH)	REZNICEK	Carex brachycalama	NA	M. Liberman 1211	MICH?	M. Liberman	1211	BOL	Bolivia																Carex brachycalama	Herbario Nacional de Bolivia on label.  Reznicek notes on material: an anomalous and poorly known member of section paniceae and thus also of interset to Marcia Waterway!	no	1								TRUE	Carex_brachycalama|BOL|spm00000368	Bolivia 	MN760056		MN763556	Global biogeography of Carex (Martin-Bravo et al.)	yes
spm00000865	Filifoliae	Carex filifolia var. filifolia	0		urn:kew.org:wcs:taxon:226524	accepted		J. Starr/Briana	pre 2014	new det. Carex filifolia Nuttall var filifolia	MOR	yes	DNA extraction		Julian Starr	STARR	Carex elynoides|Carex filifolia Nuttall var filifolia	B247	DOV 005	DOV	RFC Naczi, W Knapp	10668	NEV	USA	Nevada	Elko	County													Carex filifolia var. filifolia	Received as DNA extraction with tube label: B247. MatK already sequenced by Julian Starr's lab.		1						1		TRUE	Carex_filifolia_var_filifolia|NEV|spm00000865	USA: Nevada, Elko County		MN761828	GU172860	Global biogeography of Carex (Martin-Bravo et al.)	yes
