SPMCODE	SECTION	TAXA-Current_determination	LOOK-UP_Authors	ID.modifier	LOOK-UP_WCM-ID	LOOK-UP_Accepted name	LOOK-UP Parent Name	Determined_by	Determined_date	determination_reasoning_notes	Lab_receiving_material	Received_Materials	Type_of_material	Date_received	Institution_Person_sending_material	Ownership_of_Sequence	TAXA.received.as_piped_add_dets	Original_Tube_No	Accession_Num_Voucher	voucher_location	Collectors	Collector_no	TDWG	Country	State_Province_Region_territory	substate	substate rank	Site	habitat	associates	plant-attributes	latitute	longitude	datum	elevation	elevation_source	coordinates_source	photos	Original_project		Specimen_Notes	Imaged	Use_in_NSF-CAREX-1255901_Project	Database_Notes	SPM.EXCLUDE	SPM.DATE.EXCLUSION	SPM.EXCLUSION.NOTES	SEQUENCE_NAME	PERMISSION_TO_USE	temp-sn don't need to check	Include2019GlobalCarex	tipLabels2019	NCBI_geo_loc_name	ETS_NCBI_ACCESSION	ITS_NCBI_ACCESSION	matK_NCBI_ACCESSION	Projects_IncompleteList	SEQUENCED
spm00000259		Carex anisostachys	Liebm.		urn:kew.org:wcs:taxon:224506	accepted					MOR	yes	herbarium leaf tissue	5/1/2013	Anton Reznicek (MICH)	REZNICEK	Carex anisostachys	NA	MICH.1132362	MICH	S. Gonzalez & A.A. Reznicek w/ M. Pinedo	10294	MXE	Mexico	Queretaro			Mpio. Landa de Matamoras: Ca. 2 km SW of Pinal de Amoles on road (Hwy 120) to San Juan del Rio							2580m					Carex anisostachys	number listed for accession # is num on barcode.	no	1								TRUE	Carex_anisostachys|MXE|spm00000259	Mexico: Queretaro	MN760489	MN761923		Global biogeography of Carex (Martin-Bravo et al.)	yes
spm00000260		Carex anisostachys	Liebm.		urn:kew.org:wcs:taxon:224506	accepted		Anton Reznicek			MOR	yes	herbarium leaf tissue	5/1/2013	Anton Reznicek (MICH)	REZNICEK	Carex anisostachys	NA	MICH.1132361	MICH	William R. Anderson, M.W. Chase, and A.A. Reznicek	13062	MXS	Mexico	Oaxaca			18 km NE of Hwy 190 on road to Guelatao (Hwy 175)	mesic ravine in pine forest		scarce				2420m					Carex anisostachys	number listed for accession # is num on barcode.	no	1								TRUE	Carex_anisostachys|MXS|spm00000260	Mexico: Oaxaca	MN760635	MN761798	MN763087	Global biogeography of Carex (Martin-Bravo et al.)	yes
spm00000261		Carex anisostachys	Liebm.		urn:kew.org:wcs:taxon:224506	accepted		Anton Reznicek			MOR	yes	herbarium leaf tissue	5/1/2013	Anton Reznicek (MICH)	REZNICEK	Carex anisostachys	NA	MICH.1132345	MICH	S. Gonzalez & A.A. Reznicek w/ M. Gonzalez & M. Pinedo	10795	MXG	Mexico	Veracruz			Mpio. Acultzingo: Cumbres de Acultzingo, near Puerto del Aire, SW of Acultzingo (km 28.5) on road to Tehuacan	humid oak forest, with a few pines; heavily disturbed and grazed.		Locally abundant; scattered single plants on the road bank and into the forest.	18° 42' 00"N	97° 20'13"W		2070m					Carex anisostachys	number listed for accession # is num on barcode./ Reznicek note regarding voucher- nore than 1 sp here.	no	1								TRUE	Carex_anisostachys|MXG|spm00000261	Mexico: Veracruz	MN760580	MN761887		Global biogeography of Carex (Martin-Bravo et al.)	yes
spm00000262		Carex angustispica	Reznicek & S.González		urn:kew.org:wcs:taxon:224500	accepted		Anton Reznicek			MOR	yes	herbarium leaf tissue	5/1/2013	Anton Reznicek (MICH)	REZNICEK	Carex angustispica	NA	MICH.1132341	MICH	A.A. Reznicek & S.A. Reznicek	8077	MXS	Mexico	Oaxaca			Sierra de Juarez, along hwy 175 0.6 km by road SW of Mirador at Cerro Pelon, ca. 60 km NE of Oaxaca.	Dry, stony mountain ridge dominated by grasses, sedges, and small shrubs with scattered dwarfed pines.		frequent in dense clumps.									Carex angustispica	number listed for accession # is num on barcode.	no	1								TRUE	Carex_angustispica|MXS|spm00000262	Mexico: Oaxaca	MN760565	MN761537	MN763181	Global biogeography of Carex (Martin-Bravo et al.)	yes
spm00000263		Carex chihuahuensis	Mack.		urn:kew.org:wcs:taxon:225486	accepted		S.Martin Bravo & P. Jimenez-Mejias			MOR	yes	herbarium leaf tissue	5/1/2013	Anton Reznicek (MICH)	REZNICEK	Carex agrostoides|Carex chihuahuensis	NA	MICH.1132335	MICH	A.C. Sanders w/ L. Lubinsky, A. Mayor, D. Kossack, & C. Spenger	13474	MXE	Mexico	Tamaulipas			Mpio. Alamos: La Huerta, an abandoned settlement at the head of a canyon called Los Guyabos, on the Chalaton Trail, Sierr de Alamos.	Oak woodland with tropical deciduous forest elements		a fairly common clump-forming perennial at wet seeps in the canyon bottom.	26° 59'N	108° 58' W		1100m					Carex agrostoides	number listed for accession # is num on barcode.	no	1								TRUE	Carex_chihuahuensis|MXE|spm00000263	Mexico: Tamaulipas	MN760734	MN761673	MN763188	Global biogeography of Carex (Martin-Bravo et al.)	yes
spm00000264		Carex caeligena	Reznicek		urn:kew.org:wcs:taxon:225230	accepted					MOR	yes	herbarium leaf tissue	5/1/2013	Anton Reznicek (MICH)	REZNICEK	Carex caligena|Carex caeligena	NA	MICH.1132451	MICH	A.A. Reznicek w/ R.F.C. Naczi	8468	MXE	Mexico	Tamaulipas			Mpio. Gomez Farias, vicinity of Rancho del Cielo Biological Station ca. 7 km WNW of Gomez Farias. NE of Indian Springs (Ojo de Agua de los Indios) towards Agua Linda	Sunny, open clearing between 2 low ridges in open Pinus forest.		Scarce on drier, upper edges of clearing.				1500m					Carex caligena	number listed for accession # is num on barcode.	no	1								TRUE	Carex_caligena|MXE|spm00000264	Mexico: Tamaulipas	MN760637	MN761559	MN763065	Global biogeography of Carex (Martin-Bravo et al.)	yes
spm00000265		Carex chihuahuensis	Mack.		urn:kew.org:wcs:taxon:225486	accepted		Anton Reznicek			MOR	yes	herbarium leaf tissue	5/1/2013	Anton Reznicek (MICH)	REZNICEK	Carex chichuahuensis	NA	MICH.1204227	MICH	V.W. Steinmann & A. Burquez, C. Lindquist, A.L. Reina G., T.R. Van Devender, L. Varela E.	881	MXN	Mexico	Sonora			Mpio. Yecora; small canyon on the east side of MEX 16, 4.8 km (by road) southwest of Puerto de la Cruz, near a seep called El Aguajito	moist soil along the shady canyon bottom in pine-oak woodland	Buddleja parviflora, Cuphea llavea, Geranium, Lobelia laxiflora, Mimulus cardinalis, Platanus wrightii, Salvia, Toxicodendrons radicans.	Solitary perennial forming a large clump	28° 22'16"N	109° 02'51"W		1750m					Carex chihuahuensis	number listed for accession # is num on barcode.	no	1								TRUE	Carex_chihuahuensis|MXN|spm00000265	Mexico: Sonora	MN760735	MN761672	MN763005	Global biogeography of Carex (Martin-Bravo et al.)	yes
spm00000266		Carex sect.Fecundae - Chiapas	#N/A	Carex sp. nov "balden" section Fecundae	#N/A	#N/A	#N/A				MOR	yes	herbarium leaf tissue	5/1/2013	Anton Reznicek (MICH)	REZNICEK	Carex sp. nov "balden" section Fecundae (maybe "Golden"??)	Carex_MOR_228	MICH. A 1000186 (sheet 1 of 2)	MICH	S. Gonzalez & A.A. Reznicek w/ M. Gonzalez & M. Pinedo	10502	MXT	Mexico	Chiapas			Mpio. Tenejapa: Along the road between Matzam and Ach'lum. 2460.	wet, seepage slow meadow	Eleocharis, Carex, Juncus, Equisetum, Cyperus, and grasses.	two very large spreading clumps in very wet soil; scales pale brown, perigynia greenish.	16° 47'02"N	92° 27'53"W		2460m					Carex sect.Fecundae - Chiapas	number listed for accession # is num on barcode.	no	1								FALSE		Mexico: Chiapas
spm00000267		Carex chiapensis	F.J.Herm.		urn:kew.org:wcs:taxon:225484	accepted					MOR	yes	herbarium leaf tissue	5/1/2013	Anton Reznicek (MICH)	REZNICEK	Carex chiapensis	NA	MICH.1132453	MICH	S. Gonzalez & A.A. Reznicek w/ M. Pinedo	10528	MXS	Mexico	Oaxaca			Distrito Ixtlan de Juarez: Below Cerro Pelon, along Hwy 175 (Tuxtepec-Oaxaca Hwy)	wet, seepy rocky slopes along road in humid forest dominated by Pinus.		common in small clumps in open areas.	17 ° 35' 00" N	96° 30' 06"W		2950m					Carex chiapensis	number listed for accession # is num on barcode.	no	1								TRUE	Carex_chiapensis|MXS|spm00000267	Mexico: Oaxaca	MN760632	MN761558	MN763062	Global biogeography of Carex (Martin-Bravo et al.)	yes
spm00000268		Carex coulteri	Boott ex Hemsl.		urn:kew.org:wcs:taxon:225714	accepted					MOR	yes	herbarium leaf tissue	5/1/2013	Anton Reznicek (MICH)	REZNICEK	Carex coulteri	NA	MICH.1132553	MICH	S. Gonzalez & A.A. Reznicek w/ M. Gonzalez & M. Pinedo	10799	MXC	Mexico	Mexico			Mpio. Huixquilucan: Ca. 10 km past Huixquilucan along road to Rio Hondo.	Dry oak forest in steep ravine.		locally common on edge of cliff (upper part of ravine) edge of oak forest.	19°24'00" M	99° 17'06"W		2550m					Carex coulteri	number listed for accession # is num on barcode.	no	1								TRUE	Carex_coulteri|MXC|spm00000268	Mexico: Mexico	MN760633	MN761888	MN763063	Global biogeography of Carex (Martin-Bravo et al.)	yes
